tract_geoid,majority_race,poverty_cat,community,communityok,aggregate_avg,public_avg,mission_avg,small_biz_avg,nonres_avg,SF_avg,MF_avg,aggregate_pct,public_pct,mission_pct,small_biz_pct,nonres_pct,SF_pct,MF_pct
17031010100,no racial majority,Over 31%,ROGERS PARK,Rogers Park,11143.30578,61.33818439,279.3261111,44.46702909,7415.663093,13899.99396,7237.912254,51,63,60,1,50,67,85
17031010201,no racial majority,Over 31%,ROGERS PARK,Rogers Park,6361.009785,4.795752413,140.7253477,6487.98736,2591.388681,10912.83006,3694.276005,28,31,40,71,18,59,65
17031010202,no racial majority,21 to 31 percent,ROGERS PARK,Rogers Park,18168.86834,57.02207297,1061.497419,3719.839422,16650.95325,11809.11741,2567.950056,71,62,89,35,76,61,53
17031010300,no racial majority,12 to 20 percent,ROGERS PARK,Rogers Park,11154.61112,104.0971865,28.79225606,3765.187164,11011.37399,9384.122909,3887.566117,52,70,14,36,65,52,66
17031010400,white,21 to 31 percent,ROGERS PARK,Rogers Park,12082.03488,16.92792721,143.7359467,4113.189122,871.0223344,12289.80373,6545.656682,55,43,41,41,5,63,83
17031010501,no racial majority,12 to 20 percent,ROGERS PARK,Rogers Park,6685.705457,0,2.44428858,9635.564526,25580.21553,12969.03385,2954.676576,30,1,3,89,87,65,57
17031010502,white,Over 31%,ROGERS PARK,Rogers Park,6454.110261,143.7363229,107.5709601,4974.903373,17823.24406,14108.59977,1632.756023,29,74,34,52,78,67,38
17031010503,white,Over 31%,ROGERS PARK,Rogers Park,13702.42582,107.849884,405.2348133,1975.932882,35810.64414,8580.978998,4021.239933,61,71,69,15,92,48,67
17031010600,white,21 to 31 percent,ROGERS PARK,Rogers Park,12819.29581,168.1416963,60.62301216,7605.225261,14279.27235,16661.95715,5601.53584,57,76,23,81,72,70,77
17031010701,no racial majority,12 to 20 percent,ROGERS PARK,Rogers Park,6882.381549,0,52.30561785,8663.852707,2699.952861,9279.871723,2723.785637,31,1,21,87,19,51,54
17031010702,no racial majority,21 to 31 percent,ROGERS PARK,Rogers Park,9789.652305,61.74452322,267.7504757,5962.318656,3541.262369,10345.8777,4099.640799,45,63,58,65,25,56,68
17031020100,no racial majority,12 to 20 percent,WEST RIDGE,West Ridge,7990.741394,18.97917615,41.52083992,2343.036844,1360.888294,5848.674257,4338.942997,38,44,17,19,8,34,70
17031020200,no racial majority,12 to 20 percent,WEST RIDGE,West Ridge,13780.78612,28.86693495,24.81758067,9578.395355,6019.766753,10862.98872,7823.177457,61,51,12,89,42,58,87
17031020301,white,12 to 20 percent,WEST RIDGE,West Ridge,7474.103369,19.7377964,7.010101475,4990.75176,2941.874481,8153.212129,34.8177905,35,44,5,53,21,47,12
17031020302,white,12 to 20 percent,WEST RIDGE,West Ridge,10371.458,1.345446908,23.75425526,7273.317254,5691.457235,8306.427831,4950.503046,48,24,11,79,41,47,74
17031020400,no racial majority,12 to 20 percent,WEST RIDGE,West Ridge,8978.541583,33.17773157,3.516992032,2268.599875,22869.6229,8146.048571,4034.549443,41,54,3,18,84,46,68
17031020500,no racial majority,21 to 31 percent,WEST RIDGE,West Ridge,8111.010133,0.458948939,122.2974479,4388.82826,13907.72287,7057.762053,3988.770497,38,22,37,44,71,41,67
17031020601,white,Over 31%,WEST RIDGE,West Ridge,8145.473197,0.697957384,3.735479529,6743.507494,10142.28924,8684.321209,2688.533093,39,23,4,74,62,49,54
17031020602,no racial majority,21 to 31 percent,WEST RIDGE,West Ridge,103299.062,40.94182189,419.933623,5752.305652,86520.18522,11920.72629,4752.97118,99,57,70,62,97,61,73
17031020701,white,0 to 11 percent,WEST RIDGE,West Ridge,17342.8837,74.33360789,68.20619129,6849.870239,4988.892269,10806.78175,6325.430949,70,66,25,75,37,58,81
